Timestamp,CPU Usage (%),Memory Usage (%)
2024-08-09 05:47:27,99.7,61.9
2024-08-09 05:47:29,99.7,61.9
2024-08-09 05:47:31,99.7,61.9
2024-08-09 05:47:33,99.2,61.9
2024-08-09 05:47:35,99.7,62.0
2024-08-09 05:47:37,99.5,61.9
2024-08-09 05:47:39,99.7,61.9
2024-08-09 05:47:41,100.0,61.9
2024-08-09 05:47:43,99.0,61.9
2024-08-09 05:47:45,98.0,61.9
2024-08-09 05:47:47,99.5,61.9
2024-08-09 05:47:49,99.2,61.8
2024-08-09 05:47:51,97.8,61.9
2024-08-09 05:47:53,99.7,62.0
2024-08-09 05:47:55,99.5,61.9
2024-08-09 05:47:57,100.0,62.0
2024-08-09 05:47:59,94.4,61.3
2024-08-09 05:48:01,97.7,61.4
2024-08-09 05:48:03,97.0,61.4
2024-08-09 05:48:05,97.5,61.3
2024-08-09 05:48:07,94.7,61.3
2024-08-09 05:48:09,96.7,61.4
2024-08-09 05:48:11,97.8,61.3
2024-08-09 05:48:13,95.2,61.3
2024-08-09 05:48:15,93.4,61.3
2024-08-09 05:48:17,95.2,61.3
2024-08-09 05:48:19,98.7,61.3
2024-08-09 05:48:21,96.0,61.3
2024-08-09 05:48:23,93.5,61.3
2024-08-09 05:48:25,95.7,61.3
2024-08-09 05:48:27,97.5,61.4
2024-08-09 05:48:29,96.7,61.3
2024-08-09 05:48:31,97.0,61.4
2024-08-09 05:48:33,98.2,61.4
2024-08-09 05:48:35,98.5,49.9
2024-08-09 05:48:37,68.6,41.7
2024-08-09 05:48:39,42.5,41.7
Timestamp,CPU Usage (%),Memory Usage (%)
2024-08-09 05:48:42,78.2,41.8
2024-08-09 05:48:44,49.0,41.8
2024-08-09 05:48:46,69.2,41.9
2024-08-09 05:48:48,45.4,41.8
2024-08-09 05:48:50,66.6,41.8
2024-08-09 05:48:52,62.9,41.7
2024-08-09 05:48:54,39.2,41.7
2024-08-09 05:48:56,69.9,41.8
2024-08-09 05:48:58,39.9,41.7
2024-08-09 05:49:00,64.5,41.8
2024-08-09 05:49:02,62.6,41.8
2024-08-09 05:49:04,42.7,41.7
2024-08-09 05:49:06,69.5,41.8
2024-08-09 05:49:08,39.9,41.8
2024-08-09 05:49:10,66.4,41.9
2024-08-09 05:49:12,59.6,41.9
2024-08-09 05:49:14,39.9,41.8
2024-08-09 05:49:16,70.3,41.9
2024-08-09 05:49:18,43.0,41.8
2024-08-09 05:49:20,62.7,41.9
2024-08-09 05:49:22,61.2,41.8
2024-08-09 05:49:24,42.7,41.8
2024-08-09 05:49:26,71.9,41.8
2024-08-09 05:49:28,42.5,41.8
2024-08-09 05:49:30,79.5,42.0
2024-08-09 05:49:32,83.4,42.0
2024-08-09 05:49:34,54.5,41.8
2024-08-09 05:49:36,79.5,41.9
2024-08-09 05:49:38,72.5,41.8
2024-08-09 05:49:40,50.8,41.8
2024-08-09 05:49:42,67.2,41.8
2024-08-09 05:49:44,83.1,42.5
2024-08-09 05:49:46,80.9,42.6
2024-08-09 05:49:48,73.2,42.6
2024-08-09 05:49:50,51.1,42.4
2024-08-09 05:49:52,92.5,42.5
2024-08-09 05:49:54,69.1,42.6
2024-08-09 05:49:56,70.3,42.7
2024-08-09 05:49:58,86.3,42.8
2024-08-09 05:50:00,72.3,42.8
2024-08-09 05:50:02,73.9,42.7
2024-08-09 05:50:04,81.0,42.7
2024-08-09 05:50:07,64.6,42.6
2024-08-09 05:50:09,79.9,42.7
2024-08-09 05:50:11,82.7,42.6
2024-08-09 05:50:13,64.1,42.5
2024-08-09 05:50:15,87.6,42.7
2024-08-09 05:50:17,88.1,42.7
2024-08-09 05:50:19,64.5,42.6
2024-08-09 05:50:21,81.4,42.7
2024-08-09 05:50:23,83.8,42.7
